Country Name,2009,2010,2011,2012,2013,2014,2015,2016
United Kingdom,1.961731736,2.492654725,3.856112447,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368
Georgia,1.727514611,7.110178975,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139
Ghana,19.25071443,10.70756812,8.726836831,7.12635006,11.66619231,15.48961603,17.1499695,17.45463471
Gibraltar,,,,,,,,
Guinea,4.68438869,15.46198107,21.35046642,15.22510139,11.88789561,9.713977334,8.150870775,8.172681123
"Gambia, The",4.561581547,5.048936576,4.796484979,4.254534775,5.699730297,5.947374922,6.808326252,7.228683889
Guinea-Bissau,-1.651397336,2.517851402,5.046102263,2.130545803,1.207125557,-1.509244606,1.404608873,1.575302229
Equatorial Guinea,4.691065677,7.78916548,4.805389222,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155
Greece,1.210084518,4.712972862,3.329864062,1.501527961,-0.922168807,-1.311210501,-1.736036796,-0.825651782
Grenada,-0.30865478,3.436509059,3.033472803,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944
Greenland,,,,,,,,
Guatemala,1.859102547,3.859509098,6.214123931,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999
Guam,,,,,,,,
Guyana,2.952300964,3.733377577,4.977735637,2.391935213,1.901251819,0.852630498,-1.001734328,0.836008062
High income,1.371422647,1.81353628,3.335540502,2.630127758,1.471559406,1.03308937,0.349037004,0.443258966
"Hong Kong SAR, China",0.576519916,2.313705055,5.276561068,4.063860668,4.323570432,4.438502674,2.995391705,2.411135968
Honduras,5.496342738,4.69889065,6.762279573,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233
Heavily indebted poor countries (HIPC),4.388676021,4.337721767,6.595838192,6.377978656,5.340085178,4.566173531,3.997379967,4.003553136
Croatia,2.378528459,1.030555053,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125
Haiti,-0.014636278,5.696511023,8.401466717,6.28908183,5.853472722,4.566173531,9.016518813,13.83374255
Hungary,4.211711712,4.855557957,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307
IBRD only,3.466723732,4.063538973,5.604051443,4.279499996,3.806390697,3.400887212,3.09551722,2.582358206
IDA & IBRD total,4.219030521,4.029884526,5.812209242,5.046623269,4.338938483,3.589220166,3.143416962,2.818332881
IDA total,4.47259017,3.99623008,6.429396811,5.83116601,4.932763109,4.129243069,3.163464574,2.965632857
IDA blend,2.01736098,3.436509059,4.44083401,4.537205082,4.597878974,1.854898504,2.529328173,1.05535328
Indonesia,4.38641555,5.134204008,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157
IDA only,4.622985119,4.548152241,6.775237009,6.173497874,5.009646453,4.485762936,3.254726881,3.523173176
Isle of Man,,,,,,,,
India,10.88235294,11.98938992,8.858360966,9.312445605,10.90764331,6.353194544,5.872426595,4.941026458
Not classified,,,,,,,,
Ireland,-4.478103392,-0.922095829,2.557188832,1.696208973,0.508714869,0.182542317,-0.289879079,0.008306338
"Iran, Islamic Rep.",13.55155483,10.08936293,20.86933752,25.73656846,39.26602343,17.22132871,13.69920844,8.651257774
Iraq,-2.194441072,2.444595181,5.604051443,6.089096416,1.879498007,2.235974079,1.393330288,0.525433312
Iceland,12.00312985,5.396731132,4.001026643,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762
Israel,3.328907436,2.707664066,3.467381591,1.68422871,1.571392169,0.485030942,-0.632490013,-0.54438861
Italy,0.774768131,1.525516021,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657
Jamaica,9.573787278,12.60950824,7.529692443,6.898248186,9.344402834,8.290005777,3.675887919,2.349758498
Jordan,-0.73973862,4.83932971,4.169270898,4.5152,4.824561404,2.898931704,-0.87691336,-0.778579635
Japan,-1.35283673,-0.719979429,-0.267633601,-0.051939058,0.346440326,2.761954083,0.78951789,-0.116666667
Kazakhstan,7.316078583,7.400463563,8.452904662,5.19568369,5.942838716,6.84944977,6.678285856,14.36109424
Kenya,9.234125924,3.961388891,14.02249396,9.377767482,5.71749357,6.878154993,6.582174403,6.297157525
Kyrgyz Republic,6.836562481,7.967722256,16.63632627,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297
Cambodia,-0.661307602,3.99623008,5.478587304,2.932724618,2.94260016,3.855238553,1.221270061,3.04541464
Kiribati,9.816438845,-3.899550407,1.497409799,-3.045862928,-1.488059085,2.103985209,0.572015744,
St. Kitts and Nevis,2.05793709,0.85087865,5.835165196,0.816089282,1.10698554,0.247865392,-2.30187563,-0.687037123
"Korea, Rep.",2.756686477,2.939181359,4.02584625,2.187221208,1.301377058,1.274714702,0.70620817,0.971674764
Kuwait,4.609595484,4.496402878,4.839403499,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767
Latin America & Caribbean (excluding high income),2.94426625,4.008118163,5.671523849,4.144572841,3.306553603,3.553849174,3.143416962,2.77316004
Lao PDR,0.141187675,5.982545216,7.568988561,4.255126778,6.371427178,4.129243069,1.277354271,1.59691347
Lebanon,1.195096712,3.983479419,4.971485717,6.581474477,4.821019563,1.854604213,-3.749145248,-0.783359624
Liberia,7.427643059,7.289927969,8.488167518,6.831787034,7.577306817,9.861112856,7.748696876,8.834248683
Libya,2.459900256,2.799895001,15.51848153,6.059803922,2.605818027,,,
St. Lucia,-0.156936087,3.250344092,2.769407941,4.177635871,1.472018389,3.518478182,-0.984309204,-3.092989589
Latin America & Caribbean,2.591946734,3.52283301,5.042434265,3.898495879,2.606252636,3.314187885,2.128492399,1.689327289
Least developed countries: UN classification,4.68438869,5.696511023,7.34270706,6.441212809,5.51827137,4.605817789,4.548143951,5.430519661
Low income,4.68438869,4.186983358,7.205508536,6.666388249,5.009646453,4.485762936,5.58816953,5.706375046
Liechtenstein,,,,,,,,
Sri Lanka,3.464963221,6.217648893,6.716768436,7.542913732,6.908450348,3.179002282,3.768367831,3.958888466
Lower middle income,4.400709649,5.718839737,7.04308537,5.014345631,5.552150976,5.127343963,3.882873899,3.383370304
Low & middle income,4.32909396,4.397413832,6.214123931,5.074743008,4.614747585,3.593521802,3.15783118,2.885851073
Lesotho,7.379439352,3.598261524,4.994597891,6.129491527,4.969039901,5.306490756,3.171860619,6.596504907
Late-demographic dividend,3.060915358,3.299178011,4.370735599,3.316055667,2.682296841,2.044614815,1.557907113,1.109208058
Lithuania,4.453060068,1.319184445,4.130300688,3.089983269,1.047466621,0.103789914,-0.884108435,0.905521554
